,BTC,ETH,SP500,Ndx100,FNG,FNG_class,Price,PiCycle,RUPL,RHODL,Puell,2YMA,Trolololo,MVRV,ReserveRisk,Woobull,Confidence
2011-06-27 00:00:00+00:00,,,,,,,15.59,,0.8242,0.7836000000000001,0.7151000000000001,0.5954,0.7479,0.5311,,0.5778,0.6822
2011-06-28 00:00:00+00:00,,,,,,,17.01,,0.8243,0.7828,0.7004,0.6127,0.774,0.5317000000000001,0.8307,0.5977,0.7068
2011-06-29 00:00:00+00:00,,,,,,,16.93,,0.8205,0.7792,0.7145,0.6074,0.7708,0.5265000000000001,0.8364,0.5922000000000001,0.7059000000000001
2011-06-30 00:00:00+00:00,,,,,,,16.88,,0.8061,0.7061000000000001,0.7279,0.6028,0.7682,0.5088,0.8372,0.5876,0.6931
2011-07-01 00:00:00+00:00,,,,,,,16.51,,0.7913,0.7013,0.6853,0.5937,0.7594000000000001,0.49,0.8294,0.578,0.6786
2011-07-02 00:00:00+00:00,,,,,,,17.1703,,0.7908000000000001,0.7065,0.6755,0.6000000000000001,0.7702,0.488,0.8200000000000001,0.5862,0.6796
2011-07-03 00:00:00+00:00,,,,,,,15.53,,0.7916000000000001,0.7009000000000001,0.6675,0.5716,0.7366,0.4881,0.8218000000000001,0.5546,0.6666000000000001
2011-07-04 00:00:00+00:00,,,,,,,15.48,,0.7554000000000001,0.6796,0.6436000000000001,0.5678000000000001,0.7339,0.4475,0.8241,0.5513,0.6504
2011-07-05 00:00:00+00:00,,,,,,,14.48,,0.73,0.6699,0.5702,0.5486,0.7109000000000001,0.4217,0.7973,0.5293,0.6222
2011-07-06 00:00:00+00:00,,,,,,,12.8,,0.7748,0.6727000000000001,0.6345000000000001,0.5149,0.67,0.4675,0.7817000000000001,0.4921,0.626
2011-07-07 00:00:00+00:00,,,,,,,14.8,,0.776,0.6579,0.5856,0.5479,0.7145,0.4683,0.8145,0.5305,0.6369
2011-07-08 00:00:00+00:00,,,,,,,15.16,,0.7642,0.6474000000000001,0.636,0.5511,0.7205,0.4549,0.8132,0.5349,0.6403
2011-07-09 00:00:00+00:00,,,,,,,14.35,,0.766,0.6313000000000001,0.6081,0.5346000000000001,0.7013,0.4561,0.8006000000000001,0.5175000000000001,0.6269
2011-07-10 00:00:00+00:00,,,,,,,15.0285,,0.7698,0.6351,0.5882000000000001,0.5433,0.7143,0.4605,0.7982,0.5272,0.6296
2011-07-11 00:00:00+00:00,,,,,,,15.08,,0.7616,0.6321,0.6169,0.5414,0.7137,0.4515,0.7986000000000001,0.5258,0.6302
2011-07-12 00:00:00+00:00,,,,,,,14.37,,0.754,0.6146,0.5808,0.5269,0.6967,0.4431,0.7891,0.5105000000000001,0.6144000000000001
2011-07-13 00:00:00+00:00,,,,,,,14.15,,0.7521,0.6102000000000001,0.6588,0.5205000000000001,0.6900000000000001,0.4409,0.7798,0.5044000000000001,0.6196
