timestamp,market_cap,total_coins,avg_price,realized_price,mvrv_ratio,high,low,close
2020-02-19,185813879606.25,18225087.5,10195.5,10195.5,1.0,10191.68,9611.22,9633.39
2020-02-20,174881949781.25,18227312.5,9594.5,9895.0,0.9696,9643.22,9507.9,9608.48
2020-02-21,177874590187.5,18229525.0,9757.5,9849.17,0.9907,9723.01,9589.74,9686.44
2020-02-22,176164163593.75,18231737.5,9662.5,9802.5,0.9857,9698.23,9600.73,9663.18
2020-02-23,181701311750.0,18233950.0,9965.0,9835.0,1.0132,9937.4,9657.79,9924.52
2020-02-25,174337833000.0,18236175.0,9560.0,9789.17,0.9766,9652.74,9305.02,9341.71
2020-02-26,168221882400.0,18238400.0,9223.5,9708.36,0.9501,9354.78,8704.43,8820.52
2020-02-27,162706263500.0,18240612.5,8920.0,9609.81,0.9282,8932.89,8577.2,8784.49
2020-02-28,158119685687.5,18242825.0,8667.5,9505.11,0.9119,8890.46,8492.93,8672.46
2020-03-01,157545898812.5,18245037.5,8635.0,9418.1,0.9169,8726.8,8471.21,8562.45
2020-03-02,157309542250.0,18247250.0,8621.0,9345.64,0.9225,8921.31,8532.63,8869.67
2020-03-03,159901899950.0,18249475.0,8762.0,9297.0,0.9425,8901.6,8704.99,8787.79
2020-03-04,159821011050.0,18251700.0,8756.5,9255.42,0.9461,8843.37,8712.43,8755.25
2020-03-05,165553972787.5,18253925.0,9069.5,9242.14,0.9813,9142.05,8757.25,9078.76
2020-03-06,165656305100.0,18256150.0,9074.0,9230.93,0.983,9167.7,9032.08,9122.55
2020-03-07,163494618937.5,18258375.0,8954.5,9213.66,0.9719,9163.22,8890.74,8909.95
2020-03-08,151343852800.0,18260600.0,8288.0,9159.21,0.9049,8914.34,8105.25,8108.12
2020-03-10,144212298906.25,18262812.5,7896.5,9089.06,0.8688,8136.95,7814.76,7909.73
2020-03-11,141983171837.5,18265025.0,7773.5,9019.82,0.8618,7950.81,7642.81,7911.43
2020-03-12,111658642031.25,18267262.5,6112.5,8874.45,0.6888,7929.12,4860.35,4970.79
2020-03-14,101715441250.0,18269500.0,5567.5,8716.98,0.6387,5625.23,5125.07,5200.37
2020-03-15,97671439168.75,18271712.5,5345.5,8563.73,0.6242,5836.65,5169.28,5392.31
2020-03-17,96020404593.75,18273937.5,5254.5,8419.85,0.6241,5371.35,4981.91,5225.63
2020-03-18,97896197475.0,18276150.0,5356.5,8292.21,0.646,5331.83,5069.34,5238.44
2020-03-20,120883950393.75,18278362.5,6613.5,8225.06,0.8041,6844.26,5865.78,6198.78
2020-03-21,113284800737.5,18280587.5,6197.0,8147.06,0.7606,6378.14,5932.82,6185.07
2020-03-23,108252458800.0,18282800.0,5921.0,8064.61,0.7342,6443.93,5785.0,6416.31
2020-03-24,122217023550.0,18285012.5,6684.0,8015.3,0.8339,6789.02,6411.07,6734.8
2020-03-26,120670086567.98,18287237.5,6598.6,7966.45,0.8283,6735.46,6590.96,6716.44
2020-03-27,122292491006.25,18289462.5,6686.5,7923.79,0.8439,6793.84,6466.7,6469.8
2020-03-28,114286463500.0,18291687.5,6248.0,7869.73,0.7939,6467.5,6117.84,6242.19
2020-03-29,108702502350.0,18293925.0,5942.0,7809.49,0.7609,6250.47,5920.09,5922.04
2020-03-31,118769376581.25,18296137.5,6491.5,7769.55,0.8355,6504.52,6374.16,6438.64
2020-04-01,116377585500.0,18298362.5,6360.0,7728.09,0.823,6612.57,6202.37,6606.78
2020-04-02,121991716275.0,18300587.5,6666.0,7697.75,0.866,7088.25,6595.92,6793.62
2020-04-03,126216108800.0,18302800.0,6896.0,7675.47,0.8984,7003.22,6673.34,6733.39
